model,idx,label,leaf_area,on_leaf,concentration,on_leaf_matched,concentration_matched,correct
Scratch CNN,0,Cherry_(including_sour)___Powdery_mildew,0.48016357421875,0.40522703528404236,0.8439353704452515,0.45465242862701416,0.9468699097633362,True
Scratch CNN,1,Squash___Powdery_mildew,0.68035888671875,0.9334767460823059,1.3720357418060303,0.8525950908660889,1.2531548738479614,True
Scratch CNN,2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.3612060546875,0.7015047669410706,1.9421179294586182,0.6519389748573303,1.8048949241638184,True
Scratch CNN,3,Soybean___healthy,0.611572265625,0.6825745701789856,1.1160979270935059,0.6116056442260742,1.0000545978546143,True
Scratch CNN,4,Tomato___Bacterial_spot,0.3966064453125,0.5935336351394653,1.496530532836914,0.5397281050682068,1.3608657121658325,True
Scratch CNN,5,Tomato___Septoria_leaf_spot,0.33612060546875,0.49778327345848083,1.4809662103652954,0.4724156856536865,1.4054945707321167,True
Scratch CNN,6,Grape___Esca_(Black_Measles),0.43389892578125,0.46570438146591187,1.0733015537261963,0.469555139541626,1.0821763277053833,True
Scratch CNN,7,Orange___Haunglongbing_(Citrus_greening),0.4801025390625,0.5872741937637329,1.223226547241211,0.6243454813957214,1.3004419803619385,True
Scratch CNN,8,Tomato___Bacterial_spot,0.410400390625,0.7141658663749695,1.740168571472168,0.6399434804916382,1.5593149662017822,True
Scratch CNN,10,Tomato___healthy,0.43341064453125,0.14925019443035126,0.3443620800971985,0.22664785385131836,0.5229402184486389,True
Scratch CNN,11,Blueberry___healthy,0.3875732421875,0.15082575380802155,0.38915419578552246,0.24387985467910767,0.6292484402656555,True
Scratch CNN,12,Tomato___Leaf_Mold,0.32977294921875,0.2660079300403595,0.8066396117210388,0.2756301164627075,0.8358178734779358,True
Scratch CNN,13,Tomato___Early_blight,0.43017578125,0.2869483232498169,0.667048990726471,0.3298337161540985,0.7667416930198669,True
Scratch CNN,14,Orange___Haunglongbing_(Citrus_greening),0.5389404296875,0.8913751840591431,1.6539400815963745,0.770033061504364,1.4287906885147095,True
Scratch CNN,15,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4544677734375,0.44193556904792786,0.9724244475364685,0.41870298981666565,0.9213040471076965,True
Scratch CNN,16,Apple___Apple_scab,0.42987060546875,0.6022791862487793,1.4010708332061768,0.5858618021011353,1.3628793954849243,True
Scratch CNN,17,Orange___Haunglongbing_(Citrus_greening),0.5330810546875,0.7918789386749268,1.4854756593704224,0.7319945096969604,1.3731392621994019,True
Scratch CNN,18,Grape___Black_rot,0.474365234375,0.7191649079322815,1.5160573720932007,0.688224732875824,1.4508329629898071,True
