idx,true_label,pred_label,DenseNet-121 conf
4670,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.9999996423721313
2254,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9856907725334167
276,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9792187809944153
1906,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,0.9686634540557861
3176,Tomato___Late_blight,Tomato___Target_Spot,0.9544398188591003
6478,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.9537685513496399
799,Tomato___Late_blight,Potato___Late_blight,0.9486387968063354
1519,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.945101797580719
7749,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.941461443901062
1509,Tomato___Late_blight,Potato___Late_blight,0.9256250262260437
4081,Cherry_(including_sour)___Powdery_mildew,Apple___healthy,0.9152587056159973
303,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.9114065766334534
6386,Strawberry___Leaf_scorch,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9054845571517944
506,Peach___Bacterial_spot,Grape___Esca_(Black_Measles),0.9017664790153503
7803,Tomato___Septoria_leaf_spot,Tomato___Early_blight,0.9012265801429749
5120,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite,0.8943781852722168
3277,Tomato___Late_blight,Tomato___Septoria_leaf_spot,0.8876201510429382
1849,Cherry_(including_sour)___Powdery_mildew,Apple___Apple_scab,0.875144898891449
592,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.8737938404083252
1465,Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,0.8670240640640259
4911,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.8605647683143616
2835,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite,0.8572818040847778
4799,Tomato___Septoria_leaf_spot,Tomato___Target_Spot,0.8377525210380554
6927,Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,0.8128970265388489
5025,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8060928583145142
3478,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.7934008240699768
6313,Tomato___Early_blight,Potato___Early_blight,0.7920377254486084
270,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.7765382528305054
2527,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite,0.7752825617790222
2680,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.759753942489624
5156,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.7596129775047302
6890,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,0.7549836039543152
3921,Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,0.7311092019081116
2107,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7292105555534363
5805,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,0.7269864678382874
2779,Tomato___Late_blight,Potato___Late_blight,0.72408527135849
3711,Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,0.7191841006278992
3440,Tomato___Early_blight,Tomato___Septoria_leaf_spot,0.6931120753288269
5480,Apple___Apple_scab,Tomato___Leaf_Mold,0.6834588646888733
2673,Potato___Late_blight,Potato___Early_blight,0.6664645671844482
4958,Tomato___Early_blight,Tomato___Target_Spot,0.6641768217086792
6650,Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,0.6615726351737976
4411,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Leaf_Mold,0.6511390209197998
5192,Tomato___Septoria_leaf_spot,Tomato___Target_Spot,0.6375197768211365
4405,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot,0.6154965758323669
2675,Peach___Bacterial_spot,Apple___Apple_scab,0.6147125363349915
3393,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening),0.6089451313018799
6534,Tomato___Early_blight,"Pepper,_bell___Bacterial_spot",0.5981798768043518
7600,Tomato___Late_blight,Tomato___Early_blight,0.5765045881271362
683,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5724151134490967
901,Peach___Bacterial_spot,Apple___Apple_scab,0.5609701871871948
4068,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.554129421710968
5317,Apple___healthy,Apple___Apple_scab,0.5513218641281128
5888,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.5474487543106079
235,Tomato___Late_blight,Tomato___Early_blight,0.3738040626049042
525,Cherry_(including_sour)___healthy,Strawberry___Leaf_scorch,0.2224283665418625
